Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
357110,Llaima,12045,Confirmed Eruption,,2,,,1914,,7,,3,,Historical Observations,,,,,,,,-38.692,-71.729
357150,Puyehue-Cordon Caulle,12210,Confirmed Eruption,Cordón Caulle,2,,,1914,,2,,8,,Historical Observations,,,,,,,,-40.59,-72.117
357070,"Chillan, Nevados de",11981,Confirmed Eruption,Volcán Nuevo,2,,,1914,,0,,0,,Historical Observations,,,,,,,,-36.868,-71.378
357060,"Azul, Cerro",11955,Uncertain Eruption,Quizapu,2,?,,1913,,1,,15,45,,,,,,,,,-35.653,-70.761
355030,Isluga,14103,Confirmed Eruption,,2,,,1913,,0,,0,,Historical Observations,,,,,,,,-19.15,-68.83
355020,Guallatiri,11819,Confirmed Eruption,,2,,,1913,,0,,0,,Historical Observations,,,,,,,,-18.42,-69.092
357120,Villarrica,12143,Discredited Eruption,,,,,1913,,0,,0,,,,,,,,,,-39.42,-71.93
357060,"Azul, Cerro",11954,Confirmed Eruption,Quizapu,2,,,1912,,2,,0,,Historical Observations,,,,,,,,-35.653,-70.761
357110,Llaima,12044,Confirmed Eruption,,2,,,1912,,0,,0,,Historical Observations,,,,,,,,-38.692,-71.729
355070,San Pedro-San Pablo,11835,Confirmed Eruption,,2,,,1911,,9,,0,,Historical Observations,,,,,,,,-21.888,-68.391
358020,Calbuco,12257,Confirmed Eruption,,2,,,1911,,0,,0,,Historical Observations,,1912,,0,,0,,-41.33,-72.618
358070,"Burney, Monte",12329,Confirmed Eruption,,2,,,1910,,3,,0,,Historical Observations,,,,,,,,-52.33,-73.4
357120,Villarrica,12142,Confirmed Eruption,,2,,,1909,,8,,19,,Historical Observations,,1910,,0,,0,,-39.42,-71.93
358020,Calbuco,12256,Confirmed Eruption,,2,,,1909,,3,,0,,Historical Observations,,,,,,,,-41.33,-72.618
357120,Villarrica,12141,Confirmed Eruption,,2,,,1908,,10,,31,,Historical Observations,,1908,,12,?,12,,-39.42,-71.93
358063,Reclus,12312,Confirmed Eruption,,1,?,,1908,1,0,,0,,Historical Observations,,,,,,,,-50.964,-73.585
355020,Guallatiri,11818,Uncertain Eruption,,,,,1908,,0,,0,,,,,,,,,,-18.42,-69.092
357060,"Azul, Cerro",11953,Confirmed Eruption,Quizapu,2,,,1907,,7,,28,,Historical Observations,,,,,,,,-35.653,-70.761
357120,Villarrica,12140,Confirmed Eruption,,2,,,1907,,5,,5,4,Historical Observations,,1907,,5,?,26,,-39.42,-71.93
358020,Calbuco,12255,Confirmed Eruption,,2,?,,1907,,4,,22,,Historical Observations,,,,,,,,-41.33,-72.618
357140,Carran-Los Venados,12187,Confirmed Eruption,Riñinahue Maar,3,,,1907,,4,,9,,Historical Observations,,1908,,2,>,0,,-40.35,-72.07
357070,"Chillan, Nevados de",11980,Confirmed Eruption,Volcán Nuevo,1,,,1907,,0,,0,,Historical Observations,,,,,,,,-36.868,-71.378
357110,Llaima,12043,Confirmed Eruption,,2,,,1907,,0,,0,,Historical Observations,,1908,,3,,0,,-38.692,-71.729
357070,"Chillan, Nevados de",11979,Confirmed Eruption,Volcán Nuevo,2,,,1906,,8,,6,,Historical Observations,,1906,,12,,0,,-36.868,-71.378
357120,Villarrica,12139,Confirmed Eruption,,2,,,1906,,4,,22,,Historical Observations,,1906,,12,,0,,-39.42,-71.93
358020,Calbuco,12254,Confirmed Eruption,,2,,,1906,,0,,0,,Historical Observations,,,,,,,,-41.33,-72.618
358030,Huequi,12268,Confirmed Eruption,,2,,,1906,,0,,0,,Historical Observations,,1907,,0,,0,,-42.377,-72.578
357060,"Azul, Cerro",11952,Confirmed Eruption,Quizapu,2,,,1906,,0,,0,,Historical Observations,,,,,,,,-35.653,-70.761
357150,Puyehue-Cordon Caulle,12209,Confirmed Eruption,Cordón Caulle,2,,?,1905,,0,,0,,Historical Observations,,,,,,,,-40.59,-72.117
357120,Villarrica,12138,Confirmed Eruption,,2,,,1904,,0,,0,,Historical Observations,,,,,,,,-39.42,-71.93
357110,Llaima,12042,Confirmed Eruption,,2,,,1903,,5,,12,,Historical Observations,,1903,,5,,14,,-38.692,-71.729
357060,"Azul, Cerro",11951,Uncertain Eruption,Quizapu,2,?,,1903,,1,,0,,,,,,,,,,-35.653,-70.761
355100,Lascar,11854,Confirmed Eruption,,2,?,,1902,,0,,0,,Historical Observations,,,,,,,,-23.37,-67.73
357120,Villarrica,21003,Confirmed Eruption,,2,?,,1902,,,,,,Varve Count,,,,,,,,-39.42,-71.93
355070,San Pedro-San Pablo,11834,Confirmed Eruption,,2,,,1901,,5,,25,,Historical Observations,,1901,,8,,0,,-21.888,-68.391
358030,Huequi,12267,Confirmed Eruption,,2,,,1900,,0,,0,,Historical Observations,,,,,,,,-42.377,-72.578
355100,Lascar,11853,Confirmed Eruption,,2,,,1898,,0,,0,,Historical Observations,?,1900,,0,,0,,-23.37,-67.73
357070,"Chillan, Nevados de",11978,Confirmed Eruption,Volcán Viejo,2,,,1898,,0,,0,,Historical Observations,,,,,,,,-36.868,-71.378
357120,Villarrica,12137,Confirmed Eruption,,2,,,1897,,12,,1,30,Historical Observations,,1898,,2,,1,30,-39.42,-71.93
358030,Huequi,12266,Confirmed Eruption,,2,,,1896,,0,,0,,Historical Observations,,,,,,,,-42.377,-72.578
357110,Llaima,12041,Confirmed Eruption,,2,,,1895,,0,,0,,Historical Observations,,1896,,0,,0,,-38.692,-71.729
358020,Calbuco,12253,Confirmed Eruption,,2,?,,1894,,11,,16,,Historical Observations,?,1895,,0,,0,,-41.33,-72.618
357120,Villarrica,12136,Confirmed Eruption,,2,,,1893,,12,,1,30,Historical Observations,,1894,,2,,1,30,-39.42,-71.93
357110,Llaima,12040,Confirmed Eruption,,2,,,1893,,12,,0,,Historical Observations,,1894,,12,,0,,-38.692,-71.729
357070,"Chillan, Nevados de",11977,Confirmed Eruption,Volcán Viejo,2,,,1893,,3,,4,,Historical Observations,,,,,,,,-36.868,-71.378
358020,Calbuco,12252,Confirmed Eruption,,4,,,1893,,1,,7,,Historical Observations,,1894,,1,>,16,,-41.33,-72.618
358030,Huequi,12265,Confirmed Eruption,,2,,,1893,,0,,0,,Historical Observations,,,,,,,,-42.377,-72.578
357150,Puyehue-Cordon Caulle,12208,Confirmed Eruption,Cordón Caulle,2,,?,1893,,0,,0,,Historical Observations,,,,,,,,-40.59,-72.117
357110,Llaima,12039,Confirmed Eruption,,2,,,1892,,0,,0,,Historical Observations,,,,,,,,-38.692,-71.729
357070,"Chillan, Nevados de",11976,Confirmed Eruption,Volcán Viejo,2,,,1891,,2,,0,,Historical Observations,,,,,,,,-36.868,-71.378
355070,San Pedro-San Pablo,11833,Confirmed Eruption,,2,,?,1891,,0,,0,,Historical Observations,,,,,,,,-21.888,-68.391
358057,"Hudson, Cerro",12297,Confirmed Eruption,,,,,1891,,0,,0,,Historical Observations,,,,,,,,-45.9,-72.97
358030,Huequi,12264,Confirmed Eruption,,3,?,,1890,,0,,0,,Historical Observations,,,,,,,,-42.377,-72.578
357120,Villarrica,21004,Confirmed Eruption,,2,?,,1890,,,,,,Varve Count,,,,,,,,-39.42,-71.93
357040,Planchon-Peteroa,11938,Confirmed Eruption,Peteroa (SE of 1762 crater),2,,,1889,,9,,0,,Historical Observations,?,1894,,0,,0,,-35.223,-70.568
357110,Llaima,12038,Confirmed Eruption,,2,,,1889,,4,,20,,Historical Observations,,1889,,7,,0,,-38.692,-71.729
357100,Lonquimay,12013,Confirmed Eruption,NE flank,3,,,1887,,6,,2,,Historical Observations,,1890,,1,,0,,-38.379,-71.586
357110,Llaima,12037,Confirmed Eruption,,2,,,1887,,1,,16,,Historical Observations,,1887,,6,,24,,-38.692,-71.729
355030,Isluga,14102,Confirmed Eruption,,1,?,,1885,,0,,0,,Historical Observations,,,,,,,,-19.15,-68.83
357070,"Chillan, Nevados de",11975,Uncertain Eruption,Volcán Viejo (Volcán las Aguilas?),2,?,,1883,,1,,21,,,,,,,,,,-36.868,-71.378
357110,Llaima,12036,Confirmed Eruption,,2,,,1883,,0,,0,,Historical Observations,,,,,,,,-38.692,-71.729
355100,Lascar,11852,Confirmed Eruption,,2,,,1883,,0,,0,,Historical Observations,,1885,,0,,0,,-23.37,-67.73
357120,Villarrica,12135,Confirmed Eruption,,2,,,1883,,0,,0,,Historical Observations,,,,,,,,-39.42,-71.93
357120,Villarrica,11910,Confirmed Eruption,,2,,,1880,,0,,0,,Historical Observations,,,,,,,,-39.42,-71.93
357120,Villarrica,12134,Confirmed Eruption,,2,,,1879,,2,,2,,Historical Observations,,1879,,3,,0,,-39.42,-71.93
358063,Reclus,12311,Confirmed Eruption,,2,,,1879,,0,,0,,Historical Observations,,,,,,,,-50.964,-73.585
358060,Lautaro,12315,Confirmed Eruption,Volcano Uncertain: Between lakes San Martín and Viedma,,,,1879,,0,,0,,,,,,,,,,-49.019,-73.504
355030,Isluga,11515,Confirmed Eruption,,2,,,1878,,2,,0,,Historical Observations,,,,,,,,-19.15,-68.83
358060,Lautaro,12314,Uncertain Eruption,,1,,,1878,,1,,18,,,,,,,,,,-49.019,-73.504
357040,Planchon-Peteroa,11937,Confirmed Eruption,Peteroa,2,,,1878,,0,,0,,Historical Observations,,,,,,,,-35.223,-70.568
357120,Villarrica,12133,Confirmed Eruption,,2,,,1877,,3,,12,,Historical Observations,,1877,,5,,0,,-39.42,-71.93
357070,"Chillan, Nevados de",11974,Confirmed Eruption,Volcán Chillán,2,,,1877,,2,?,12,,Historical Observations,,,,,,,,-36.868,-71.378
357110,Llaima,12035,Confirmed Eruption,,2,,,1877,,1,,16,,Historical Observations,,1877,,6,,24,,-38.692,-71.729
355070,San Pedro-San Pablo,11832,Confirmed Eruption,,2,,?,1877,,0,,0,,Historical Observations,,,,,,,,-21.888,-68.391
355030,Isluga,11514,Confirmed Eruption,,2,?,,1877,,0,,0,,Historical Observations,,,,,,,,-19.15,-68.83
358060,Lautaro,12313,Confirmed Eruption,,2,?,,1876,,10,,0,,Historical Observations,,,,,,,,-49.019,-73.504
357120,Villarrica,12132,Confirmed Eruption,,2,?,,1875,,11,,17,,Historical Observations,,1876,,0,,0,,-39.42,-71.93
355100,Lascar,11851,Confirmed Eruption,,2,,,1875,,0,,0,,Historical Observations,,,,,,,,-23.37,-67.73
357110,Llaima,12034,Confirmed Eruption,,2,,,1875,,0,,0,,Historical Observations,,1876,,0,,0,,-38.692,-71.729
357120,Villarrica,12131,Confirmed Eruption,,2,,,1874,,4,,16,,Historical Observations,,,,,,,,-39.42,-71.93
357110,Llaima,12033,Uncertain Eruption,,,,,1874,,0,,0,,,,,,,,,,-38.692,-71.729
357070,"Chillan, Nevados de",11973,Confirmed Eruption,Volcán Chillán,2,,,1872,,7,,22,,Historical Observations,,,,,,,,-36.868,-71.378
357110,Llaima,12032,Confirmed Eruption,,2,,,1872,,6,,6,,Historical Observations,,,,,,,,-38.692,-71.729
357121,Quetrupillan,12078,Uncertain Eruption,,2,?,,1872,,6,,6,,Historical Observations,,,,,,,,-39.496,-71.722
357091,Callaqui,19916,Discredited Eruption,,,,,1872,,0,,0,,,,,,,,,,-37.92,-71.45
357040,Planchon-Peteroa,11936,Uncertain Eruption,,,,,1872,,0,,0,,,,,,,,,,-35.223,-70.568
357120,Villarrica,21005,Confirmed Eruption,,2,?,,1871,,,,,,Varve Count,,,,,,,,-39.42,-71.93
355070,San Pedro-San Pablo,11831,Uncertain Eruption,,,,,1870,,0,,0,,,,,,,,,,-21.888,-68.391
355030,Isluga,11825,Confirmed Eruption,,2,,,1869,,8,,0,,Historical Observations,,,,,,,,-19.15,-68.83
357110,Llaima,12031,Confirmed Eruption,,2,?,,1869,,4,,0,,Historical Observations,,,,,,,,-38.692,-71.729
357120,Villarrica,12130,Confirmed Eruption,,2,,,1869,,2,,4,,Historical Observations,,1869,,2,,24,4,-39.42,-71.93
358010,Osorno,12237,Confirmed Eruption,,2,,,1869,,0,,0,,Historical Observations,,,,,,,,-41.105,-72.496
358063,Reclus,12310,Confirmed Eruption,,2,,,1869,,0,,0,,Historical Observations,,,,,,,,-50.964,-73.585
357040,Planchon-Peteroa,11935,Uncertain Eruption,,,,,1869,,0,,0,,,,,,,,,,-35.223,-70.568
357080,Antuco,19911,Confirmed Eruption,,2,,,1869,,0,,0,,Historical Observations,,,,,,,,-37.406,-71.349
355030,Isluga,11824,Confirmed Eruption,,2,?,,1868,,0,,0,,Historical Observations,,,,,,,,-19.15,-68.83
357120,Villarrica,12129,Uncertain Eruption,,,,,1867,,0,,0,,,,1868,,0,,0,,-39.42,-71.93
357110,Llaima,12030,Confirmed Eruption,,2,,,1866,,0,,0,,Historical Observations,,,,,,,,-38.692,-71.729
357070,"Chillan, Nevados de",11972,Confirmed Eruption,NW flank of Cerro Blanco (Santa Gertrudis),3,,,1864,,11,,30,,Historical Observations,,1865,,2,,3,1,-36.868,-71.378
357130,Mocho-Choshuenco,12185,Confirmed Eruption,SW flank of El Mocho (Chaiquemahuida),2,,,1864,,11,,1,,Historical Observations,,1864,,11,,3,1,-39.927,-72.027
357120,Villarrica,12128,Confirmed Eruption,,2,,,1864,,10,,0,,Historical Observations,,,,,,,,-39.42,-71.93
357091,Callaqui,19915,Uncertain Eruption,,,,,1864,,10,,0,,,,,,,,,,-37.92,-71.45
357110,Llaima,12029,Confirmed Eruption,,3,,,1864,,0,,0,,Historical Observations,,,,,,,,-38.692,-71.729
357080,Antuco,19910,Confirmed Eruption,,2,,,1863,,12,,0,,Historical Observations,,,,,,,,-37.406,-71.349
355030,Isluga,11823,Confirmed Eruption,,1,?,,1863,,8,,0,,Historical Observations,,,,,,,,-19.15,-68.83
357080,Antuco,19909,Uncertain Eruption,,,,,1862,,1,,0,,,,1862,,3,,3,,-37.406,-71.349
357110,Llaima,12028,Confirmed Eruption,,3,,,1862,,0,,0,,Historical Observations,,,,,,,,-38.692,-71.729
357070,"Chillan, Nevados de",11971,Confirmed Eruption,NW flank of Cerro Blanco (Santa Gertrudis),2,,,1861,,6,,0,,Historical Observations,,1863,,0,,0,,-36.868,-71.378
357080,Antuco,19908,Confirmed Eruption,,0,,,1861,,2,?,0,,Historical Observations,,1861,,8,?,0,,-37.406,-71.349
357070,"Chillan, Nevados de",11970,Confirmed Eruption,W flank of Volcán Viejo (Volcán Renegado),2,?,,1860,,7,,25,,Historical Observations,,,,,,,,-36.868,-71.378
357040,Planchon-Peteroa,11934,Confirmed Eruption,Peteroa,2,,,1860,,0,,0,,Historical Observations,,,,,,,,-35.223,-70.568
357120,Villarrica,12127,Confirmed Eruption,,2,,,1859,,5,,19,,Historical Observations,,1860,,4,,12,,-39.42,-71.93
355100,Lascar,11850,Confirmed Eruption,,2,?,,1858,,4,,0,,Historical Observations,,1858,,12,,0,,-23.37,-67.73
358010,Osorno,12236,Confirmed Eruption,,2,?,,1855,,0,,0,,Historical Observations,,,,,,,,-41.105,-72.496
355100,Lascar,11849,Confirmed Eruption,Lascar or Aguas Calientes,1,,,1854,,1,,20,,Historical Observations,,1854,,1,,30,,-23.37,-67.73
357120,Villarrica,12126,Confirmed Eruption,,2,?,,1853,,11,,0,,Historical Observations,,,,,,,,-39.42,-71.93
357100,Lonquimay,12012,Confirmed Eruption,,3,,,1853,,2,,0,,Historical Observations,,,,,,,,-38.379,-71.586
355100,Lascar,11848,Uncertain Eruption,,2,?,,1853,,0,,0,,,,,,,,,,-23.37,-67.73
357080,Antuco,19907,Confirmed Eruption,NE flank fissure and summit,3,,,1852,,11,,0,,Historical Observations,,1853,,1,,0,,-37.406,-71.349
357110,Llaima,12027,Confirmed Eruption,,2,,,1852,,0,,0,,Historical Observations,,1853,,0,,0,,-38.692,-71.729
357120,Villarrica,12125,Uncertain Eruption,,,,,1852,,0,,0,,,,,,,,,,-39.42,-71.93
358010,Osorno,12235,Discredited Eruption,,,,,1852,,0,,0,,,,,,,,,,-41.105,-72.496
358010,Osorno,12234,Confirmed Eruption,,2,?,,1851,,0,,0,,Historical Observations,,,,,,,,-41.105,-72.496
357160,Puntiagudo-Cordon Cenizos,12217,Confirmed Eruption,Cordón Cenizos,,,,1850,,0,,0,,Historical Observations,,,,,,,,-40.969,-72.264
357120,Villarrica,21006,Confirmed Eruption,,2,?,,1850,,,,,,Varve Count,,,,,,,,-39.42,-71.93
355100,Lascar,11847,Confirmed Eruption,Lascar or Agua Calientes,2,,,1848,,0,,0,,Historical Observations,,,,,,,,-23.37,-67.73
357080,Antuco,19906,Uncertain Eruption,,2,?,,1848,,0,,0,,,,,,,,,,-37.406,-71.349
357060,"Azul, Cerro",11950,Confirmed Eruption,Quizapu,2,,,1846,,11,,26,,Historical Observations,?,1853,,0,,0,,-35.653,-70.761
357080,Antuco,19905,Confirmed Eruption,,2,,,1845,,2,,26,,Historical Observations,,1845,,3,>,1,,-37.406,-71.349
357040,Planchon-Peteroa,11933,Uncertain Eruption,,,,,1842,,0,,0,,,,,,,,,,-35.223,-70.568
357120,Villarrica,21007,Confirmed Eruption,,2,?,,1841,,,,,,Varve Count,,,,,,,,-39.42,-71.93
357080,Antuco,19904,Uncertain Eruption,,2,,,1839,,0,,0,,,,,,,,,,-37.406,-71.349
357120,Villarrica,12124,Confirmed Eruption,,2,,,1837,,11,,7,,Historical Observations,,1837,,11,,21,,-39.42,-71.93
358010,Osorno,12233,Confirmed Eruption,,2,,,1837,,11,,7,,Historical Observations,,,,,,,,-41.105,-72.496
357040,Planchon-Peteroa,11932,Confirmed Eruption,Peteroa,2,,,1837,,2,,0,,Historical Observations,,,,,,,,-35.223,-70.568
358020,Calbuco,12251,Discredited Eruption,,,,,1837,,0,,0,,,,1838,,0,,0,,-41.33,-72.618
357120,Villarrica,21008,Confirmed Eruption,,2,?,,1836,,,,,,Varve Count,,,,,,,,-39.42,-71.93
358050,Corcovado,12305,Uncertain Eruption,,2,,,1835,,11,,11,,,,,,,,,,-43.189,-72.794
358040,Michinmahuida,12274,Confirmed Eruption,,0,?,,1835,,2,,20,,Historical Observations,,1835,,3,,15,5,-42.799,-72.445
358049,Yanteles,12277,Uncertain Eruption,,,,,1835,,2,,20,,,,,,,,,,-43.469,-72.782
358023,Hornopiren,12238,Uncertain Eruption,,,,,1835,,0,,0,,,,,,,,,,-41.874,-72.431
357040,Planchon-Peteroa,11931,Confirmed Eruption,Peteroa,2,,,1835,,0,,0,,Historical Observations,,,,,,,,-35.223,-70.568
358010,Osorno,12232,Confirmed Eruption,Summit & SSW side (Negrillar de Ensenada),3,?,,1834,,11,,29,,Historical Observations,,1835,,2,,24,4,-41.105,-72.496
358040,Michinmahuida,12177,Confirmed Eruption,,2,,,1834,,11,,25,,Historical Observations,,,,,,,,-42.799,-72.445
358050,Corcovado,12304,Uncertain Eruption,,2,,,1834,,11,,0,,,,,,,,,,-43.189,-72.794
357120,Villarrica,12123,Confirmed Eruption,,2,,,1832,,12,,24,,Historical Observations,,,,,,,,-39.42,-71.93
357080,Antuco,19903,Confirmed Eruption,,2,,,1828,,12,,18,,Historical Observations,,,,,,,,-37.406,-71.349
357120,Villarrica,21009,Confirmed Eruption,,2,?,,1826,,,,,,Varve Count,,,,,,,,-39.42,-71.93
355020,Guallatiri,11817,Confirmed Eruption,,2,?,,1825,25,0,,0,,Historical Observations,,,,,,,,-18.42,-69.092
357120,Villarrica,12122,Confirmed Eruption,,2,,,1822,,11,,19,,Historical Observations,,1822,,11,,25,5,-39.42,-71.93
357110,Llaima,12026,Confirmed Eruption,,2,,,1822,,0,,0,,Historical Observations,,,,,,,,-38.692,-71.729
358090,Fueguino,12332,Confirmed Eruption,,2,?,,1820,,11,,25,,Historical Observations,,1820,,11,>,26,,-54.97,-70.262
357080,Antuco,19902,Confirmed Eruption,,1,,,1820,,0,,0,,Historical Observations,?,1821,,0,,0,,-37.406,-71.349
357120,Villarrica,12121,Confirmed Eruption,,1,,,1815,,0,,0,,Historical Observations,,1818,,0,,0,,-39.42,-71.93
355090,Putana,11841,Confirmed Eruption,,,,,1810,10,0,,0,,Historical Observations,,,,,,,,-22.557,-67.853
357080,Antuco,19901,Confirmed Eruption,,2,,?,1806,,5,,0,,Historical Observations,,,,,,,,-37.406,-71.349
357120,Villarrica,12120,Confirmed Eruption,,2,,,1806,,4,,0,,Historical Observations,,1806,,5,,0,,-39.42,-71.93
357120,Villarrica,21010,Confirmed Eruption,,2,?,,1798,,,,,,Varve Count,,,,,,,,-39.42,-71.93
358020,Calbuco,12250,Confirmed Eruption,,,,?,1792,,0,,0,,Historical Observations,,,,,,,,-41.33,-72.618
358010,Osorno,12231,Confirmed Eruption,SE base,2,,,1790,,3,,9,,Historical Observations,,1791,,12,,26,5,-41.105,-72.496
357120,Villarrica,12119,Confirmed Eruption,,1,,,1790,,1,,0,,Historical Observations,,1801,,0,,0,,-39.42,-71.93
357120,Villarrica,12118,Confirmed Eruption,,2,,,1787,,0,,0,,Historical Observations,,,,,,,,-39.42,-71.93
357120,Villarrica,12117,Confirmed Eruption,,1,,,1780,,0,,0,,Historical Observations,,,,,,,,-39.42,-71.93
357120,Villarrica,12116,Confirmed Eruption,,1,,,1777,,0,,0,,Historical Observations,,1779,,0,,0,,-39.42,-71.93
357120,Villarrica,12115,Uncertain Eruption,,2,?,,1775,,0,,0,,,,,,,,,,-39.42,-71.93
358040,Michinmahuida,22113,Uncertain Eruption,,2,,,1775,40,,,,,Tephrochronology,,,,,,,,-42.799,-72.445
357120,Villarrica,21011,Confirmed Eruption,,2,?,,1771,,,,,,Varve Count,,,,,,,,-39.42,-71.93
357120,Villarrica,21012,Confirmed Eruption,,2,?,,1767,,,,,,Varve Count,,,,,,,,-39.42,-71.93
358010,Osorno,12230,Confirmed Eruption,,1,,,1765,14,0,,0,,Historical Observations,,,,,,,,-41.105,-72.496
357040,Planchon-Peteroa,11930,Confirmed Eruption,Peteroa (2 km S of Planchón summit),4,,,1762,,12,,3,,Historical Observations,,,,,,,,-35.223,-70.568
357120,Villarrica,21013,Confirmed Eruption,,2,?,,1761,,,,,,Varve Count,,,,,,,,-39.42,-71.93
357120,Villarrica,12114,Confirmed Eruption,,1,,,1759,,12,,0,,Historical Observations,,1759,,12,,0,,-39.42,-71.93
357110,Llaima,12025,Confirmed Eruption,,2,,,1759,,12,,0,,Historical Observations,,,,,,,,-38.692,-71.729
357150,Puyehue-Cordon Caulle,12207,Confirmed Eruption,Cordón Caulle,2,,?,1759,,0,,0,,Historical Observations,,,,,,,,-40.59,-72.117
357080,Antuco,11996,Confirmed Eruption,,3,?,,1752,,1,,31,,Historical Observations,,1752,,2,,1,,-37.406,-71.349
357070,"Chillan, Nevados de",11969,Confirmed Eruption,Cerro Blanco and Volcán Viejo?,2,?,,1752,,1,,30,,Historical Observations,,,,,,,,-36.868,-71.378
357091,Callaqui,19914,Confirmed Eruption,,2,,,1751,,12,,31,,Historical Observations,,,,,,,,-37.92,-71.45
357110,Llaima,12024,Confirmed Eruption,,2,,,1751,,12,,18,,Historical Observations,,1752,,0,,0,,-38.692,-71.729
357120,Villarrica,12113,Confirmed Eruption,,1,?,,1751,,12,,14,,Historical Observations,,,,,,,,-39.42,-71.93
357040,Planchon-Peteroa,11929,Confirmed Eruption,,2,,,1751,,11,,0,,Historical Observations,,1751,,12,,0,,-35.223,-70.568
357080,Antuco,11995,Confirmed Eruption,,2,,,1750,10,0,,0,,Historical Observations,,,,,,,,-37.406,-71.349
357070,"Chillan, Nevados de",11968,Confirmed Eruption,Volcán Viejo,3,^,?,1749,,0,,0,,Historical Observations,,1751,,0,,0,,-36.868,-71.378
357120,Villarrica,12112,Confirmed Eruption,,1,?,,1745,,0,,0,,Historical Observations,,,,,,,,-39.42,-71.93
357120,Villarrica,12111,Confirmed Eruption,,2,?,,1742,,0,,0,,Historical Observations,,,,,,,,-39.42,-71.93
358040,Michinmahuida,12176,Confirmed Eruption,,2,,,1742,,0,,0,,Historical Observations,,,,,,,,-42.799,-72.445
358057,"Hudson, Cerro",12296,Confirmed Eruption,,,,,1740,150,0,,0,,Radiocarbon (uncorrected),,,,,,,,-45.9,-72.97
357120,Villarrica,12110,Confirmed Eruption,,2,?,,1737,,12,,24,,Historical Observations,,,,,,,,-39.42,-71.93
357120,Villarrica,12109,Confirmed Eruption,,2,?,,1730,,7,,8,,Historical Observations,,,,,,,,-39.42,-71.93
357120,Villarrica,21014,Confirmed Eruption,,2,?,,1721,,,,,,Varve Count,,,,,,,,-39.42,-71.93
358010,Osorno,12229,Confirmed Eruption,,2,,,1719,,0,,0,,Historical Observations,,,,,,,,-41.105,-72.496
357120,Villarrica,12108,Confirmed Eruption,,1,,,1716,,0,,0,,Historical Observations,,,,,,,,-39.42,-71.93
357120,Villarrica,21015,Confirmed Eruption,,2,?,,1715,,,,,,Varve Count,,,,,,,,-39.42,-71.93
358090,Fueguino,12331,Uncertain Eruption,,,,,1712,,11,,26,4,,,,,,,,,-54.97,-70.262
358054,Mentolat,12281,Confirmed Eruption,,,,,1710,5,0,,0,,Historical Observations,,,,,,,,-44.7,-73.08
357120,Villarrica,21016,Confirmed Eruption,,2,?,,1709,,,,,,Varve Count,,,,,,,,-39.42,-71.93
